"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2021/01/01","00:00","0.724","-","0.682"
"2021/01/01","00:06","0.748","-","0.714"
"2021/01/01","00:12","0.772","-","0.709"
"2021/01/01","00:18","0.794","-","0.728"
"2021/01/01","00:24","0.816","-","0.755"
"2021/01/01","00:30","0.836","-","0.773"
"2021/01/01","00:36","0.855","-","0.798"
"2021/01/01","00:42","0.873","-","0.822"
"2021/01/01","00:48","0.89","-","0.814"
"2021/01/01","00:54","0.905","-","0.838"
"2021/01/01","01:00","0.919","-","0.849"
"2021/01/01","01:06","0.931","-","0.838"
"2021/01/01","01:12","0.941","-","0.846"
"2021/01/01","01:18","0.95","-","0.866"
"2021/01/01","01:24","0.957","-","0.895"
"2021/01/01","01:30","0.962","-","0.893"
"2021/01/01","01:36","0.965","-","0.9"
"2021/01/01","01:42","0.966","-","0.891"
"2021/01/01","01:48","0.965","-","0.906"
"2021/01/01","01:54","0.963","-","0.901"
"2021/01/01","02:00","0.958","-","0.89"
"2021/01/01","02:06","0.952","-","0.906"
"2021/01/01","02:12","0.944","-","0.887"
"2021/01/01","02:18","0.934","-","0.872"
"2021/01/01","02:24","0.922","-","0.866"
"2021/01/01","02:30","0.909","-","0.856"
"2021/01/01","02:36","0.893","-","0.839"
"2021/01/01","02:42","0.876","-","0.841"
"2021/01/01","02:48","0.858","-","0.828"
"2021/01/01","02:54","0.838","-","0.791"
"2021/01/01","03:00","0.817","-","0.782"
"2021/01/01","03:06","0.794","-","0.767"
"2021/01/01","03:12","0.77","-","0.727"
"2021/01/01","03:18","0.745","-","0.725"
"2021/01/01","03:24","0.719","-","0.694"
"2021/01/01","03:30","0.691","-","0.659"
"2021/01/01","03:36","0.663","-","0.634"
"2021/01/01","03:42","0.635","-","0.616"
"2021/01/01","03:48","0.605","-","0.583"
"2021/01/01","03:54","0.575","-","0.561"
"2021/01/01","04:00","0.545","-","0.541"
"2021/01/01","04:06","0.514","-","0.494"
"2021/01/01","04:12","0.483","-","0.46"
"2021/01/01","04:18","0.452","-","0.416"
"2021/01/01","04:24","0.42","-","0.374"
"2021/01/01","04:30","0.389","-","0.362"
"2021/01/01","04:36","0.358","-","0.334"
"2021/01/01","04:42","0.328","-","0.301"
"2021/01/01","04:48","0.298","-","0.271"
"2021/01/01","04:54","0.268","-","0.243"
"2021/01/01","05:00","0.239","-","0.194"
"2021/01/01","05:06","0.211","-","0.166"
"2021/01/01","05:12","0.184","-","0.145"
"2021/01/01","05:18","0.158","-","0.112"
"2021/01/01","05:24","0.133","-","0.081"
"2021/01/01","05:30","0.108","-","0.068"
"2021/01/01","05:36","0.086","-","0.058"
"2021/01/01","05:42","0.064","-","0.007"
"2021/01/01","05:48","0.044","-","0.006"
"2021/01/01","05:54","0.025","-","-0.036"
"2021/01/01","06:00","0.008","-","-0.039"
"2021/01/01","06:06","-0.008","-","-0.056"
"2021/01/01","06:12","-0.022","-","-0.082"
"2021/01/01","06:18","-0.034","-","-0.086"
"2021/01/01","06:24","-0.045","-","-0.096"
"2021/01/01","06:30","-0.054","-","-0.104"
"2021/01/01","06:36","-0.062","-","-0.102"
"2021/01/01","06:42","-0.068","-","-0.104"
"2021/01/01","06:48","-0.073","-","-0.129"
"2021/01/01","06:54","-0.076","-","-0.125"
"2021/01/01","07:00","-0.078","-","-0.105"
"2021/01/01","07:06","-0.078","-","-0.129"
"2021/01/01","07:12","-0.077","-","-0.103"
"2021/01/01","07:18","-0.074","-","-0.086"
"2021/01/01","07:24","-0.07","-","-0.083"
"2021/01/01","07:30","-0.065","-","-0.083"
"2021/01/01","07:36","-0.059","-","-0.085"
"2021/01/01","07:42","-0.052","-","-0.087"
"2021/01/01","07:48","-0.043","-","-0.086"
"2021/01/01","07:54","-0.034","-","-0.05"
"2021/01/01","08:00","-0.024","-","-0.045"
"2021/01/01","08:06","-0.013","-","-0.011"
"2021/01/01","08:12","-0.001","-","-0.005"
"2021/01/01","08:18","0.012","-","0.018"
"2021/01/01","08:24","0.026","-","0.036"
"2021/01/01","08:30","0.04","-","0.052"
"2021/01/01","08:36","0.055","-","0.051"
"2021/01/01","08:42","0.071","-","0.073"
"2021/01/01","08:48","0.087","-","0.109"
"2021/01/01","08:54","0.104","-","0.13"
"2021/01/01","09:00","0.121","-","0.139"
"2021/01/01","09:06","0.139","-","0.166"
"2021/01/01","09:12","0.158","-","0.181"
"2021/01/01","09:18","0.177","-","0.205"
"2021/01/01","09:24","0.196","-","0.219"
"2021/01/01","09:30","0.217","-","0.239"
"2021/01/01","09:36","0.238","-","0.259"
"2021/01/01","09:42","0.259","-","0.294"
"2021/01/01","09:48","0.281","-","0.314"
"2021/01/01","09:54","0.303","-","0.331"
"2021/01/01","10:00","0.326","-","0.355"
"2021/01/01","10:06","0.349","-","0.392"
"2021/01/01","10:12","0.373","-","0.409"
"2021/01/01","10:18","0.397","-","0.433"
"2021/01/01","10:24","0.422","-","0.471"
"2021/01/01","10:30","0.447","-","0.49"
"2021/01/01","10:36","0.473","-","0.516"
"2021/01/01","10:42","0.499","-","0.529"
"2021/01/01","10:48","0.525","-","0.555"
"2021/01/01","10:54","0.551","-","0.585"
"2021/01/01","11:00","0.578","-","0.609"
"2021/01/01","11:06","0.604","-","0.627"
"2021/01/01","11:12","0.631","-","0.683"
"2021/01/01","11:18","0.658","-","0.696"
"2021/01/01","11:24","0.685","-","0.706"
"2021/01/01","11:30","0.712","-","0.747"
"2021/01/01","11:36","0.738","-","0.771"
"2021/01/01","11:42","0.765","-","0.793"
"2021/01/01","11:48","0.791","-","0.821"
"2021/01/01","11:54","0.817","-","0.843"
"2021/01/01","12:00","0.842","-","0.855"
"2021/01/01","12:06","0.867","-","0.897"
"2021/01/01","12:12","0.891","-","0.912"
"2021/01/01","12:18","0.915","-","0.919"
"2021/01/01","12:24","0.938","-","0.945"
"2021/01/01","12:30","0.959","-","0.961"
"2021/01/01","12:36","0.98","-","0.984"
"2021/01/01","12:42","1","-","1.014"
"2021/01/01","12:48","1.019","-","1.026"
"2021/01/01","12:54","1.037","-","1.046"
"2021/01/01","13:00","1.053","-","1.076"
"2021/01/01","13:06","1.068","-","1.091"
"2021/01/01","13:12","1.081","-","1.102"
"2021/01/01","13:18","1.093","-","1.099"
"2021/01/01","13:24","1.104","-","1.132"
"2021/01/01","13:30","1.112","-","1.141"
"2021/01/01","13:36","1.119","-","1.138"
"2021/01/01","13:42","1.125","-","1.136"
"2021/01/01","13:48","1.128","-","1.138"
"2021/01/01","13:54","1.13","-","1.128"
"2021/01/01","14:00","1.13","-","1.136"
"2021/01/01","14:06","1.128","-","1.148"
"2021/01/01","14:12","1.124","-","1.137"
"2021/01/01","14:18","1.119","-","1.156"
"2021/01/01","14:24","1.112","-","1.151"
"2021/01/01","14:30","1.103","-","1.143"
"2021/01/01","14:36","1.092","-","1.117"
"2021/01/01","14:42","1.079","-","1.129"
"2021/01/01","14:48","1.065","-","1.113"
"2021/01/01","14:54","1.049","-","1.098"
"2021/01/01","15:00","1.032","-","1.089"
"2021/01/01","15:06","1.013","-","1.063"
"2021/01/01","15:12","0.992","-","1.045"
"2021/01/01","15:18","0.971","-","1.027"
"2021/01/01","15:24","0.948","-","0.992"
"2021/01/01","15:30","0.924","-","0.967"
"2021/01/01","15:36","0.898","-","0.961"
"2021/01/01","15:42","0.872","-","0.912"
"2021/01/01","15:48","0.845","-","0.894"
"2021/01/01","15:54","0.817","-","0.869"
"2021/01/01","16:00","0.788","-","0.839"
"2021/01/01","16:06","0.758","-","0.814"
"2021/01/01","16:12","0.728","-","0.77"
"2021/01/01","16:18","0.698","-","0.75"
"2021/01/01","16:24","0.666","-","0.709"
"2021/01/01","16:30","0.635","-","0.68"
"2021/01/01","16:36","0.604","-","0.644"
"2021/01/01","16:42","0.572","-","0.606"
"2021/01/01","16:48","0.54","-","0.565"
"2021/01/01","16:54","0.509","-","0.513"
"2021/01/01","17:00","0.477","-","0.509"
"2021/01/01","17:06","0.446","-","0.47"
"2021/01/01","17:12","0.415","-","0.433"
"2021/01/01","17:18","0.385","-","0.419"
"2021/01/01","17:24","0.355","-","0.386"
"2021/01/01","17:30","0.326","-","0.359"
"2021/01/01","17:36","0.297","-","0.334"
"2021/01/01","17:42","0.269","-","0.283"
"2021/01/01","17:48","0.242","-","0.267"
"2021/01/01","17:54","0.216","-","0.252"
"2021/01/01","18:00","0.192","-","0.216"
"2021/01/01","18:06","0.168","-","0.186"
"2021/01/01","18:12","0.145","-","0.179"
"2021/01/01","18:18","0.124","-","0.146"
"2021/01/01","18:24","0.103","-","0.126"
"2021/01/01","18:30","0.085","-","0.108"
"2021/01/01","18:36","0.067","-","0.086"
"2021/01/01","18:42","0.051","-","0.071"
"2021/01/01","18:48","0.036","-","0.07"
"2021/01/01","18:54","0.022","-","0.059"
"2021/01/01","19:00","0.01","-","0.049"
"2021/01/01","19:06","-0.001","-","0.014"
"2021/01/01","19:12","-0.011","-","0.043"
"2021/01/01","19:18","-0.019","-","0.018"
"2021/01/01","19:24","-0.026","-","-0.001"
"2021/01/01","19:30","-0.032","-","0.012"
"2021/01/01","19:36","-0.037","-","-0.005"
"2021/01/01","19:42","-0.04","-","0.032"
"2021/01/01","19:48","-0.043","-","-0.027"
"2021/01/01","19:54","-0.044","-","0.022"
"2021/01/01","20:00","-0.045","-","0"
"2021/01/01","20:06","-0.044","-","-0.006"
