"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2021/01/01","00:00","0.724","-","0.682"
"2021/01/01","01:00","0.919","-","0.849"
"2021/01/01","02:00","0.958","-","0.89"
"2021/01/01","03:00","0.817","-","0.782"
"2021/01/01","04:00","0.545","-","0.541"
"2021/01/01","05:00","0.239","-","0.194"
"2021/01/01","06:00","0.008","-","-0.039"
"2021/01/01","07:00","-0.078","-","-0.105"
"2021/01/01","08:00","-0.024","-","-0.045"
"2021/01/01","09:00","0.121","-","0.139"
"2021/01/01","10:00","0.326","-","0.355"
"2021/01/01","11:00","0.578","-","0.609"
"2021/01/01","12:00","0.842","-","0.855"
"2021/01/01","13:00","1.053","-","1.076"
"2021/01/01","14:00","1.13","-","1.136"
"2021/01/01","15:00","1.032","-","1.089"
"2021/01/01","16:00","0.788","-","0.839"
"2021/01/01","17:00","0.477","-","0.509"
"2021/01/01","18:00","0.192","-","0.216"
"2021/01/01","19:00","0.01","-","0.049"
"2021/01/01","20:00","-0.045","-","0"
"2021/01/01","21:00","-0.003","-","0.048"
"2021/01/01","22:00","0.108","-","0.147"
"2021/01/01","23:00","0.291","-","0.36"
"2021/01/02","00:00","0.536","-","0.634"
"2021/01/02","01:00","0.789","-","0.845"
"2021/01/02","02:00","0.952","-","1.085"
"2021/01/02","03:00","0.945","-","1.104"
"2021/01/02","04:00","0.761","-","1"
"2021/01/02","05:00","0.469","-","0.704"
"2021/01/02","06:00","0.174","-","0.431"
"2021/01/02","07:00","-0.024","-","0.229"
"2021/01/02","08:00","-0.067","-","0.251"
"2021/01/02","09:00","0.022","-","0.304"
"2021/01/02","10:00","0.183","-","0.458"
"2021/01/02","11:00","0.39","-","0.684"
"2021/01/02","12:00","0.636","-","0.944"
"2021/01/02","13:00","0.887","-","1.17"
"2021/01/02","14:00","1.072","-","1.351"
"2021/01/02","15:00","1.107","-","1.342"
"2021/01/02","16:00","0.966","-","1.12"
"2021/01/02","17:00","0.694","-","0.789"
"2021/01/02","18:00","0.38","-","0.385"
"2021/01/02","19:00","0.117","-","0.11"
"2021/01/02","20:00","-0.022","-","0.005"
"2021/01/02","21:00","-0.031","-","0.026"
"2021/01/02","22:00","0.041","-","0.072"
"2021/01/02","23:00","0.166","-","0.158"
"2021/01/03","00:00","0.354","-","0.344"
"2021/01/03","01:00","0.6","-","0.581"
"2021/01/03","02:00","0.839","-","0.881"
"2021/01/03","03:00","0.973","-","1.025"
"2021/01/03","04:00","0.929","-","1.049"
"2021/01/03","05:00","0.716","-","0.883"
"2021/01/03","06:00","0.415","-","0.577"
"2021/01/03","07:00","0.133","-","0.251"
"2021/01/03","08:00","-0.028","-","0.098"
"2021/01/03","09:00","-0.031","-","0.137"
"2021/01/03","10:00","0.078","-","0.288"
"2021/01/03","11:00","0.237","-","0.518"
"2021/01/03","12:00","0.431","-","0.732"
"2021/01/03","13:00","0.665","-","0.925"
"2021/01/03","14:00","0.903","-","1.213"
"2021/01/03","15:00","1.063","-","1.355"
"2021/01/03","16:00","1.066","-","1.273"
"2021/01/03","17:00","0.894","-","1.09"
"2021/01/03","18:00","0.605","-","0.835"
"2021/01/03","19:00","0.294","-","0.551"
"2021/01/03","20:00","0.062","-","0.399"
"2021/01/03","21:00","-0.029","-","0.363"
"2021/01/03","22:00","-0.001","-","0.365"
"2021/01/03","23:00","0.087","-","0.368"
"2021/01/04","00:00","0.215","-","0.396"
"2021/01/04","01:00","0.406","-","0.599"
